productId,productOptionId,phoneNumber,pp-message,pp-code
V28Hi3un7up77,V28Hi3Ho7,+971523456789,Success,SUCCESS
V28Hi3un7up77,V28Hi3Ho7,+66643567890,Success,SUCCESS
V28Hi3un7up77,V28Hi3Ho7,+34643567890,Success,SUCCESS
V28Hi3un7up77,V28Hi3Ho7,+447624315900,Success,SUCCESS
V28Hi3un7up77,V28Hi3Ho7,+967734355678,Success,SUCCESS
V28Hi3un7up77,V28Hi3Ho7,+6583435567,Success,SUCCESS
V28Hi3un7up77,V28Hi3Ho7,+5216435678900,Success,SUCCESS
V28Hi3un7up77,V28Hi3Ho7,+4759567890,Success,SUCCESS
V28Hi3un7up77,V28Hi3Ho7,+8801748343556,Success,SUCCESS
V28Hi3un7up77,V28Hi3Ho7,+905345678901,Success,SUCCESS
V28Hi3un7up77,V28Hi3Ho7,+94756434551,Success,SUCCESS
V28Hi3un7up77,V28Hi3Ho7,+48723456789,Success,SUCCESS
V28Hi3un7up77,V28Hi3Ho7,+34723456789,Success,SUCCESS
V28Hi3un7up77,V28Hi3Ho7,+25299641237,Success,SUCCESS
V28Hi3un7up77,V28Hi3Ho7,+40743207689,Success,SUCCESS
V28Hi3un7up77,V28Hi3Ho7,+923432076890,Success,SUCCESS
V28Hi3un7up77,V28Hi3Ho7,+33743207689,Success,SUCCESS
V28Hi3un7up77,V28Hi3Ho7,+3584577432076,Success,SUCCESS
V28Hi3un7up77,V28Hi3Ho7,+64228945789,Success,SUCCESS
